Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Initial execution	17,18632535	47757	
81,34945533	0,071794699	0,066175544	64454				
81,56657901	0,090901763	0,062203164	64494				
81,78302497	0,084792745	0,061074342	64535				
81,98708593	0,077949625	0,061860923	64575				
82,21894794	0,101417826	0,064703464	64616				
82,43273283	0,084100433	0,066548406	64660				
82,64334123	0,078611684	0,068752177	64700				
82,85077254	0,079864423	0,064721514	64737				
83,09469141	0,115779228	0,061665021	64774				
83,36243565	0,120203254	0,06706936	64818				
83,56554439	0,069820667	0,066653474	64866				
83,80960013	0,085390752	0,078381555	64907				
84,01732102	0,074915278	0,066248322	64948				
84,23522901	0,081673122	0,069250343	64996				
84,44411457	0,075605687	0,065475989	65044				
84,65367572	0,074277554	0,070927981	65092				
84,8806784	0,096140846	0,067606629	65132				
85,10023825	0,090033043	0,064080602	65180				
85,34424349	0,115043057	0,064994159	65225				
85,58658766	0,107614706	0,062908095	65266				
85,8123686	0,074570417	0,087023338	65302				
86,0244756	0,078148996	0,069056965	65346				
86,27918485	0,104287269	0,067922184	65391				
86,51204539	0,096593605	0,069853663	65432				
86,73495247	0,081022859	0,061769864	65469				
86,95908204	0,073758791	0,081556245	65513				
87,18245052	0,08670023	0,063948842	65554				
87,39308096	0,084024574	0,064493292	65598				
87,60435825	0,076918076	0,068218999	65639				
87,82171352	0,084816502	0,069002819	65679				
88,03751255	0,083977485	0,06720991	65723				
88,26294676	0,090190595	0,064069684	65767				
88,48937324	0,094293337	0,065484628	65807				
88,74769525	0,118443282	0,069456124	65848				
88,9943802	0,101579089	0,070720821	65888				
89,24644759	0,105322379	0,06859149	65929				
89,48309914	0,104349368	0,066634622	65970				
89,70815494	0,074849568	0,072311858	66011				
89,93156694	0,085649385	0,073365609	66052				
90,1459705	0,079760048	0,067462224	66093				
90,36094792	0,084006815	0,064808173	66134				
90,62554602	0,130033047	0,06723466	66174				
90,85566205	0,09688582	0,064305361	66215				
91,07252594	0,086015212	0,06757311	66255				
91,28149207	0,081166422	0,062434457	66292				
91,49730728	0,079992938	0,069395392	66328				
91,73180667	0,095639796	0,068784159	66368				
91,96937227	0,08763511	0,066391858	66416				
92,22001506	0,104143557	0,066571883	66457				
92,49349785	0,12609879	0,066086037	66501				
92,73867654	0,096965865	0,066708433	66542				
92,95868148	0,078136643	0,072987335	66583				
93,20220235	0,106903557	0,064883948	66620				
93,43348306	0,091476862	0,069088849	66661				
93,65434314	0,076545965	0,073552536	66702				
93,90719874	0,100639246	0,064425818	66738				
94,11952059	0,075903067	0,067881003	66779				
94,33460746	0,082523052	0,066371969	66827				
94,53895983	0,074186523	0,063968156	66871				
94,75708283	0,084967482	0,069000305	66912				
95,00055957	0,107080418	0,067892425	66953				
95,22841951	0,095004696	0,066074215	66997				
95,45533311	0,08757974	0,072497673	67037				
95,66650508	0,076428041	0,072172841	67081				
95,89912236	0,083326425	0,084401234	67122				
96,10908006	0,078458247	0,066339955	67163				
96,3457798	0,099747302	0,070180652	67204				
