Number of individuals;String cleaning time
480;9.864001185633242e-06
481;9.761999535840005e-06
482;9.587998647475615e-06
483;9.824001608649269e-06
484;8.832001185510308e-06
485;9.413000952918082e-06
486;9.118000889429823e-06
487;9.18300065677613e-06
488;9.47800072026439e-06
489;8.874001650838181e-06
490;9.31899921852164e-06
491;1.0274998203385621e-05
492;9.416999091627076e-06
493;9.545001375954598e-06
494;9.396997484145686e-06
495;8.602997695561498e-06
496;9.275998309021816e-06
497;8.568000339437276e-06
498;9.264000254916027e-06
499;9.90899934549816e-06
500;1.0810999810928479e-05
501;9.102997864829376e-06
502;9.294999472331256e-06
503;9.563998901285231e-06
504;8.57399936649017e-06
505;1.006900129141286e-05
506;9.669998689787462e-06
507;8.514001820003614e-06
508;9.395000233780593e-06
509;8.697999874129891e-06
510;1.0174000635743141e-05
511;9.797997336136177e-06
512;8.90400042408146e-06
513;9.289000445278361e-06
514;9.014001989271492e-06
515;9.472998499404639e-06
516;8.71199881657958e-06
517;9.073002729564905e-06
518;1.0370000381954014e-05
519;9.654999303165823e-06
520;1.0114999895449728e-05
521;8.90500086825341e-06
522;9.169001714326441e-06
523;9.555002179695293e-06
524;9.324998245574534e-06
525;9.306997526437044e-06
526;1.6950001736404374e-05
527;1.0987998393829912e-05
528;1.001499913400039e-05
529;9.866002073977143e-06
530;1.6361998859792948e-05
531;9.071998647414148e-06
532;9.308001608587801e-06
533;8.877999789547175e-06
534;9.747996955411509e-06
535;8.907998562790453e-06
536;1.019100091070868e-05
537;9.628998668631539e-06
538;8.996001270134002e-06
539;9.485000191489235e-06
540;9.396000677952543e-06
541;9.862997103482485e-06
542;9.418999979970977e-06
543;1.0195999493589625e-05
544;1.1671996617224067e-05
545;8.928000170271844e-06
546;1.0007999662775546e-05
547;9.842999133979902e-06
548;1.003400029730983e-05
549;9.89099862636067e-06
550;1.7261001630686224e-05
551;1.0103998647537082e-05
552;9.326999133918434e-06
553;9.333998605143279e-06
554;1.6845999198267236e-05
555;1.0203002602793276e-05
556;9.454000974074006e-06
557;9.303003025706857e-06
558;9.502997272647917e-06
559;1.0139996447833255e-05
560;1.0472998837940395e-05
561;1.0202002158621326e-05
562;9.216997568728402e-06
563;1.0141000529984012e-05
564;9.501000022282824e-06
565;9.420000424142927e-06
566;9.472001693211496e-06
567;9.414001397090033e-06
568;1.0706000466598198e-05
569;1.0225998266832903e-05
570;8.825998520478606e-06
571;8.950999472290277e-06
572;1.5858000551816076e-05
573;8.86999987415038e-06
574;8.935003279475495e-06
575;8.701001206645742e-06
576;9.129998943535611e-06
577;9.138999303104356e-06
578;8.655999408802018e-06
579;9.976000001188368e-06
580;9.618997864890844e-06
581;9.16299904929474e-06
582;1.0124000255018473e-05
583;9.048002539202571e-06
584;1.0096999176312238e-05
585;9.101000614464283e-06
586;9.581999620422721e-06
587;9.649000276112929e-06
588;9.73699934547767e-06
589;9.397001122124493e-06
590;9.457999112783e-06
591;1.036600224324502e-05
592;1.0080999345518649e-05
593;9.63099955697544e-06
594;9.483999747317284e-06
595;9.550996765028685e-06
596;8.662998880026862e-06
597;8.727001841180027e-06
598;9.308998414780945e-06
599;8.895000064512715e-06
600;9.511000826023519e-06
601;9.516999853076413e-06
602;8.816001354716718e-06
603;9.04500120668672e-06
604;9.331000910606235e-06
605;8.900999091565609e-06
606;9.673000022303313e-06
607;9.276998753193766e-06
608;1.0219999239780009e-05
609;8.620001608505845e-06
610;9.486997441854328e-06
611;9.513998520560563e-06
612;9.70099790720269e-06
613;9.6160001703538e-06
614;9.068997314898297e-06
615;9.139999747276306e-06
616;9.065999620361254e-06
617;9.100000170292333e-06
618;1.422999775968492e-05
619;9.700001101009548e-06
620;1.0274001397192478e-05
621;9.326999133918434e-06
622;9.906001650961116e-06
623;8.756000170251355e-06
624;8.877999789547175e-06
625;8.680002792971209e-06
626;9.722996765049174e-06
627;8.870996680343524e-06
628;9.138999303104356e-06
629;1.2010001228190958e-05
630;8.88900103745982e-06
631;8.757997420616448e-06
632;8.581002475693822e-06
633;9.553001291351393e-06
634;1.0081999789690599e-05
635;9.447001502849162e-06
636;9.65200160862878e-06
637;1.121300010709092e-05
638;1.1710999388014898e-05
639;1.152900222223252e-05
640;1.0719002602854744e-05
641;1.1026997526641935e-05
642;1.003400029730983e-05
643;9.31799877434969e-06
644;8.787999831838533e-06
645;8.633996912976727e-06
646;8.925999281927943e-06
647;9.292001777794212e-06
648;9.409999620402232e-06
649;9.513998520560563e-06
650;8.971997885964811e-06
651;8.590002835262567e-06
652;8.815000910544768e-06
653;8.699000318301842e-06
654;9.818999387789518e-06
655;9.260998922400177e-06
656;9.116000001085922e-06
657;9.721999958856031e-06
658;8.349998097401112e-06
659;1.0094001481775194e-05
660;9.368002793053165e-06
661;8.341001375811175e-06
662;8.236002031480893e-06
663;9.718001820147038e-06
664;9.505001798970625e-06
665;1.0706000466598198e-05
666;9.254999895347282e-06
667;8.826002158457413e-06
668;9.858002158580348e-06
669;8.917002560338005e-06
670;9.049999789567664e-06
671;9.110000974033028e-06
672;9.89399995887652e-06
673;9.084000339498743e-06
674;1.0081999789690599e-05
675;9.745999705046415e-06
676;9.10999733605422e-06
677;9.487997886026278e-06
678;1.0407999070594087e-05
679;1.0145002306671813e-05
680;9.765000868355855e-06
681;1.0517000191612169e-05
682;9.518000297248363e-06
683;9.721999958856031e-06
684;9.63200000114739e-06
685;9.625000529922545e-06
686;9.308998414780945e-06
687;9.673000022303313e-06
688;8.899001841200516e-06
689;8.609997166786343e-06
690;9.048999345395714e-06
691;8.918003004509956e-06
692;8.688999514561146e-06
693;8.955998055171221e-06
694;1.0174997441936284e-05
695;9.103998309001327e-06
696;9.507999493507668e-06
697;8.377999620279297e-06
698;8.781997166806832e-06
699;1.0161998943658546e-05
700;9.326999133918434e-06
701;9.552000847179443e-06
702;9.069997759070247e-06
703;9.196999599225819e-06
704;9.051997039932758e-06
705;9.16499993763864e-06
706;9.0810026449617e-06
707;8.626997441751882e-06
708;8.528000762453303e-06
709;9.367999155074358e-06
710;8.803999662632123e-06
711;1.0685998859116808e-05
712;9.137998858932406e-06
713;9.151000995188951e-06
714;9.913997928379104e-06
715;1.1168998753419146e-05
