Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Sensors	Total discovery time
137,8329043	0,208694215	0,104148774	18752	327	0,37169306
138,2045973	0,207731173	0,103624065	18793	328	0,414608358
138,6192057	0,218279919	0,138967485	18856	329	0,395763894
139,0149696	0,211317551	0,114892096	18904	330	0,463593692
139,4785633	0,20472017	0,186624274	18964	331	0,376799425
139,8553627	0,211093436	0,105819388	19012	332	0,38500953
140,2403722	0,203024859	0,106816875	19053	333	0,410548667
140,6509209	0,209999766	0,135504461	19112	334	0,78520788
141,4361288	0,626085815	0,097362083	19160	335	0,251543496
141,6876723	0,1089776	0,103772585	19204	336	0,320732256
142,0084045	0,174364184	0,10437556	19252	337	0,404460647
142,4128652	0,236405267	0,105850075	19293	338	0,443912411
142,8567776	0,24197937	0,104346522	19338	339	0,409528304
143,2663059	0,245104007	0,105015238	19383	340	0,434289248
143,7005951	0,269692457	0,103289371	19427	341	0,39459344
144,0951886	0,231312405	0,101366917	19471	342	0,405183768
144,5003723	0,232216747	0,102825205	19516	343	0,386054125
144,8864265	0,219795508	0,10545169	19568	344	0,416100064
145,3025265	0,241580344	0,116158502	19616	345	0,387994851
145,6905214	0,218179968	0,10914613	19661	346	0,515677237
146,2061986	0,274550205	0,166553833	19705	347	0,415342805
146,6215414	0,22962194	0,118591266	19753	348	0,373459007
146,9950004	0,206536698	0,104964829	19801	349	0,358046787
147,3530472	0,194821748	0,107739138	19849	350	0,318921552
147,6719688	0,164163937	0,104351584	19893	351	0,37678745
148,0487562	0,206504736	0,117597799	19941	352	0,404103915
148,4528601	0,23144095	0,108492101	19989	353	0,428509746
148,8813699	0,251421217	0,110493468	20037	354	0,439711852
149,3210817	0,226223084	0,146189914	20085	355	0,268383158
149,5894649	0,12095516	0,100373552	20133	356	0,250435067
149,8398999	0,10283198	0,100191644	20178	357	0,26846858
150,1083685	0,128045858	0,093816559	20222	358	0,275331228
150,3836998	0,104473295	0,107311349	20267	359	0,413901199
150,797601	0,232914271	0,110577321	20315	360	0,445533234
151,2431342	0,265830768	0,116614839	20360	361	0,395933845
151,639068	0,224522446	0,107869487	20404	362	0,399380798
152,0384488	0,216846173	0,11749834	20453	363	0,492876463
152,5313253	0,240373907	0,107439438	20494	364	0,417961327
152,9492866	0,235796867	0,119919918	20538	365	0,474623435
153,4239101	0,308087399	0,104542388	20586	366	0,450444158
153,8743542	0,247432278	0,142714593	20646	367	0,389771513
154,2641257	0,219012406	0,108924708	20690	368	0,479167575
154,7432933	0,268679235	0,147242155	20750	369	0,367773496
155,1110668	0,195304038	0,108331763	20798	370	0,37556036
155,4866272	0,204520712	0,109548236	20846	371	0,40643571
155,8930629	0,231394214	0,108547491	20890	372	0,46513386
156,3581967	0,263697689	0,109956903	20938	373	0,410495936
156,7686927	0,230828311	0,116866305	20982	374	0,431038456
157,1997311	0,219504703	0,14017369	21042	375	0,412841295
157,6125724	0,225323253	0,120680755	21090	376	0,416290623
158,028863	0,236347438	0,115719204	21131	377	0,398160838
158,4270239	0,225796063	0,110259777	21179	378	0,396237487
158,8232614	0,226353195	0,105159717	21227	379	0,428082117
159,2513435	0,261474264	0,102737216	21275	380	0,477955075
159,7292986	0,272666937	0,135398603	21323	381	0,388158258
160,1174568	0,219312958	0,103076332	21371	382	0,381711515
160,4991683	0,219553691	0,099956712	21415	383	0,394861995
160,8940303	0,225398725	0,104971007	21463	384	0,392604998
161,2866353	0,216989517	0,111473044	21511	385	0,399579421
161,6862147	0,216410986	0,117273563	21559	386	0,391391035
162,0776058	0,213056398	0,110555807	21604	387	0,406272223
162,483878	0,226204681	0,115182093	21648	388	0,432106879
162,9159849	0,231323913	0,13054861	21692	389	0,392842386
163,3088273	0,21984531	0,107825782	21736	390	0,481145436
163,7899727	0,294671801	0,119174651	21784	391	0,392695598
164,1826683	0,221543165	0,10455553	21832	392	0,394819823
164,5774881	0,226654314	0,102373592	21873	393	0,410346594
164,9878347	0,24045075	0,105858199	21921	394	0,368184688
165,3560194	0,204459652	0,099003703	21965	395	0,41861328
165,7746327	0,21408827	0,14136659	22024	396	0,431010132
166,2056428	0,217108017	0,14510938	22069	397	0,413273598
166,6189164	0,232923901	0,11788016	22117	398	0,390601907
167,0095183	0,220514732	0,103341847	22162	399	0,386257976
167,3957763	0,217930949	0,10358816	22203	400	0,404069128
167,7998454	0,228118826	0,1102212	22247	401	0,444486392
168,2443318	0,260949628	0,117801845	22295	402	0,441624543
168,6859564	0,261727241	0,111894796	22339	403	0,431886556
169,1178429	0,242642739	0,113571685	22379	404	0,439338785
169,5571817	0,231503903	0,101708973	22427	405	0,40948581
169,9666675	0,244398829	0,101286862	22471	406	0,424116218
170,3907837	0,246384187	0,108771577	22515	407	0,426425239
170,817209	0,220401375	0,140980618	22574	408	0,450472529
171,2676815	0,268696128	0,107904278	22615	409	0,410145497
171,677827	0,217494693	0,11468954	22663	410	0,408053318
172,0858803	0,218152424	0,122615864	22711	411	0,423658784
172,5095391	0,227552697	0,130924756	22759	412	0,44426388
172,953803	0,271330561	0,106700329	22799	413	0,344442975
173,298246	0,187761957	0,096995838	22844	414	0,390665723
173,6889117	0,217015451	0,109866962	22892	415	0,392128857
174,0810405	0,215008263	0,113344665	22940	416	0,390403872
174,4714444	0,21210137	0,110166055	22988	417	0,395192829
174,8666372	0,209725906	0,112920925	23033	418	0,384437236
175,2510745	0,207058857	0,113504007	23078	419	0,424312707
175,6753872	0,215053641	0,103214348	23122	420	0,374382546
176,0497697	0,20340007	0,104563349	23163	421	0,387975946
176,4377457	0,21236962	0,110018703	23211	422	0,432590594
176,8703363	0,216053768	0,147318539	23274	423	0,437946299
177,3082826	0,261210588	0,10968206	23315	424	0,42586108
177,7341436	0,208701045	0,149442918	23374	425	0,389810652
178,1239543	0,208363274	0,115583214	23422	426	0,379808967
178,5037633	0,208925406	0,10479289	23470	427	0,419325386
178,9230886	0,206625093	0,120228362	23515	428	0,410945196
179,3340338	0,23840832	0,106303541	23563	429	0,384376583
179,7184104	0,206716484	0,109328397	23608	430	0,373916772
180,0923272	0,205942642	0,103094327	23656	431	0,387773095
180,4801003	0,206909388	0,110902824	23701	432	0,390445312
180,8705456	0,210015417	0,110458635	23749	433	0,395027081
181,2655727	0,218817857	0,111981717	23790	434	0,381511818
181,6470845	0,209066302	0,109129165	23838	435	0,375732222
182,0228167	0,198481433	0,102596377	23882	436	0,382154118
182,4049708	0,206358162	0,10790595	23930	437	0,387370532
182,7923414	0,215809077	0,106598284	23974	438	0,386184511
183,1785259	0,214161345	0,107565781	24018	439	0,379438303
183,5579642	0,212354679	0,098958358	24066	440	0,367461547
183,9254257	0,205191424	0,100715907	24110	441	0,402427652
184,3278534	0,209657697	0,129068412	24170	442	0,413143934
184,7409973	0,215788603	0,133305315	24214	443	0,379658573
185,1206559	0,205052679	0,105509742	24258	444	0,387381985
185,5080379	0,202555546	0,118898144	24302	445	0,834399302
186,3424372	0,666979357	0,101795399	24346	446	0,405110972
186,7475482	0,241838766	0,099719027	24390	447	0,424015519
187,1715637	0,251900633	0,103667616	24434	448	0,402171869
187,5737355	0,230690497	0,102672502	24482	449	0,442310758
188,0160463	0,239743858	0,136791136	24522	450	0,443123594
188,4591699	0,239131281	0,136762967	24566	451	0,387989166
188,8471591	0,227996533	0,09467782	24603	452	0,404600268
189,2517593	0,233699705	0,105728581	24644	453	0,413021818
189,6647811	0,23282121	0,11154463	24689	454	0,402507463
190,0672886	0,23210881	0,106148727	24730	455	0,410295706
190,4775843	0,236769318	0,106979153	24778	456	0,453695005
190,9312793	0,235888345	0,150065384	24826	457	0,433369741
191,3646491	0,267268605	0,09966266	24870	458	0,401148139
191,7657972	0,226490957	0,108819897	24918	459	0,393910885
192,1597081	0,223363371	0,103201759	24959	460	0,397591653
192,5572997	0,219995029	0,110911835	25003	461	0,388749167
192,9460489	0,216204079	0,104330259	25051	462	0,410042829
193,3560917	0,230159678	0,112695652	25099	463	0,470915519
193,8270073	0,250219872	0,152467594	25147	464	0,400987412
194,2279947	0,227040718	0,106349646	25191	465	0,388490909
194,6164856	0,220949123	0,099995726	25235	466	0,400849131
195,0173347	0,228915973	0,10253764	25283	467	0,397418656
195,4147534	0,222305952	0,106164951	25328	468	0,441108741
195,8558621	0,269382109	0,104280783	25376	469	0,393742019
196,2496041	0,224855143	0,100401433	25420	470	0,421717292
196,6713214	0,2221641	0,131858779	25465	471	0,386965432
197,0582868	0,218951131	0,100887023	25509	472	0,39845926
197,4567461	0,231380067	0,101699066	25550	473	0,39903783
197,8557839	0,222538987	0,109133321	25594	474	0,406364267
198,2621482	0,224445514	0,101905607	25635	475	0,390944449
198,6530926	0,218617549	0,106253136	25683	476	0,393344735
199,0464374	0,225790899	0,100851924	25731	477	0,423614319
